GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0059,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",22,727047419,0.280,0.231,0.228,0.262,0,0.509002,17.903094,25.022242,5.718231,17.534884,19.504362,1.000000,1.165953
0060,"23_0_0,25_0_0,15_0_0,18_0_0,11_0_0,1_0_0","17_0_0,6_0_0,22_0_0,14_0_0,9_0_0,2_0_0",19,515607022,0.341,0.160,0.192,0.307,0,0.352377,912.405710,249.956972,849.064213,3894.284736,3592.853276,1.000000,0.792805
0061,"14_0_0,15_0_0","18_0_0,22_0_0",21,310169371,0.339,0.166,0.179,0.316,0,0.595797,956.488752,4095.627524,439.637540,1981.549340,1987.021296,1.000000,1.046533
0062,"19_0_0,18_0_0,24_0_0,1_0_0,14_1_0","15_0_0,14_0_0,20_0_0,2_0_0,18_1_0",22,567847475,0.365,0.202,0.153,0.280,0,1.510387,4.127685,9.086180,2.403895,10.829831,20.249974,1.000000,2.196183
0063,"19_0_0,19_0_0,19_0_0,18_0_0,11_0_0,1_0_0","15_0_0,6_0_0,22_0_0,14_0_0,9_0_0,2_0_0",18,190941009,0.181,0.137,0.226,0.456,0,0.785924,14.998799,5.716407,0.685171,2.963570,10.828439,1.000000,1.216149
0064,"18_0_0,11_0_0","14_0_0,9_0_0",25,191865772,0.268,0.329,0.205,0.198,0,1.385939,975.497010,1319.086966,1055.015416,2410.020928,3717.760336,1.000000,1.141032
0065,"2_2_0,1_0_0,11_0_0,4_0_0","1_2_0,2_0_0,9_0_0,7_0_0",21,962153049,0.288,0.238,0.219,0.255,0,0.335005,25.569081,44.470777,14.625876,7.647440,29.389394,1.000000,3.986685
0066,"1_0_0,11_0_0","2_0_0,9_0_0",21,308550038,0.202,0.237,0.274,0.288,0,0.360309,1310.155498,2425.224709,686.319650,596.167976,836.648669,1.000000,0.958597
0067,"18_2_0,23_0_0,18_0_0,1_0_0,3_1_0,11_0_0","14_2_0,17_0_0,14_0_0,2_0_0,3_0_0,9_0_0",23,50210594,0.345,0.141,0.232,0.282,0,0.775327,8.496507,15.997470,11.107487,25.087686,82.581344,1.000000,1.522230
0068,"18_0_0,11_0_0","14_0_0,9_0_0",24,520987734,0.281,0.250,0.184,0.284,0,1.798583,2.579218,2.606550,0.000100,0.719805,2.964254,1.000000,2.334745
