GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0251,"15_0_0,4_0_0,1_0_0,11_0_0","22_0_0,7_0_0,2_0_0,9_0_0",24,193591031,0.339,0.139,0.292,0.230,0,2.038704,181.709063,129.287677,193.590359,453.359548,662.184715,1.000000,1.248008
0252,"18_0_0,11_0_0","14_0_0,9_0_0",23,107869733,0.420,0.118,0.296,0.165,0,0.389403,40.502164,27.294836,0.000100,0.000100,38.251678,1.000000,2.464526
0253,"11_0_0,1_0_0","9_0_0,2_0_0",23,401183374,0.342,0.212,0.268,0.178,0,0.701009,1.257581,3.167556,0.766372,1.589531,5.616820,1.000000,1.412120
0254,"14_1_0,11_0_0,2_0_0","18_1_0,9_0_0,1_0_0",21,964435545,0.280,0.204,0.212,0.304,0,0.672056,2.609454,9.196803,0.000100,3.445740,6.725832,1.000000,0.633783
0255,"18_4_0,23_0_0,15_0_0,15_0_0,15_0_0,23_3_0,25_1_0,25_1_0,18_3_0,11_0_0,1_0_0","14_4_0,17_0_0,22_0_0,4_0_0,7_0_0,17_3_0,11_1_0,9_1_0,14_3_0,9_0_0,2_0_0",25,749719603,0.308,0.106,0.254,0.332,0,1.084692,5.019812,5.360370,0.513513,0.785612,6.619907,1.000000,14.982916
0256,"23_0_0,18_0_0,1_0_0","17_0_0,14_0_0,2_0_0",25,848678283,0.318,0.228,0.231,0.223,0,1.214169,1.159499,4.913686,1.710125,0.128948,1.880932,1.000000,1.509788
0257,"9_0_0,2_0_0,15_0_0","11_0_0,1_0_0,22_0_0",15,434259214,0.320,0.117,0.091,0.471,0,0.527152,1.098273,2.528527,0.714937,0.000100,1.808816,1.000000,0.252837
0258,"9_0_0,14_0_0,4_0_0","11_0_0,18_0_0,7_0_0",25,282068456,0.350,0.213,0.190,0.246,0,2.398646,0.687464,1.207595,0.468797,0.238133,1.180409,1.000000,2.236975
0259,"6_1_0,6_1_0,18_0_0,1_0_0,11_1_0,11_0_0","15_0_0,22_0_0,14_0_0,2_0_0,9_1_0,9_0_0",25,574482183,0.303,0.277,0.194,0.226,0,1.144436,0.978859,1.088157,0.167451,0.587367,3.968081,1.000000,1.032892
0260,"18_0_0,9_0_0","14_0_0,11_0_0",21,961652070,0.322,0.163,0.214,0.301,0,0.729967,0.447887,2.522318,0.300268,1.510165,1.913930,1.000000,1.276002
0261,"23_0_0,6_0_0,6_0_0","17_0_0,11_0_0,9_0_0",22,676672622,0.298,0.210,0.352,0.140,0,0.555902,1.037681,1.444608,0.000100,0.000100,4.708967,1.000000,1.205271
0262,"18_0_0","14_0_0",24,434669092,0.216,0.259,0.208,0.317,0,0.427727,16.103408,48.547042,6.725783,1.826484,5.635053,1.000000,4.161439
0263,"19_0_0,18_0_0,21_0_0,21_0_0,1_0_0","15_0_0,14_0_0,11_0_0,9_0_0,2_0_0",21,398468955,0.160,0.151,0.388,0.302,0,1.505532,47797.439473,17275.397223,10499.453359,1006.983802,35073.679572,1.000000,1.585297
0264,"24_0_0,2_0_0,11_0_0,7_0_0","20_0_0,1_0_0,9_0_0,4_0_0",19,855646347,0.463,0.086,0.196,0.255,0,0.555653,1.269960,1.623848,0.000100,0.196430,3.554715,1.000000,2.627270
0265,"1_1_0,11_0_0,11_0_0","2_1_0,9_0_0,21_0_0",25,363937044,0.373,0.164,0.304,0.159,0,0.829835,3.373830,3.895227,1.243002,4.309832,5.704846,1.000000,4.367460
0266,"NA","NA",20,17454624,0.215,0.156,0.200,0.429,0,1.355041,8.575807,12.425709,4.001648,3.337678,5.992174,1.000000,0.316395
0267,"1_0_0,14_0_0","2_0_0,18_0_0",20,804283816,0.311,0.151,0.123,0.415,0,0.961346,0.000100,1.588527,1.102121,0.881671,5.248828,1.000000,0.512413
0268,"18_0_0,1_0_0","14_0_0,2_0_0",22,964362240,0.290,0.113,0.198,0.398,0,2.586584,83.189514,375.406084,84.988564,425.038557,485.628394,1.000000,1.269878
0269,"19_0_0,25_0_0,25_0_0,25_0_0,4_0_0,1_0_0","15_0_0,11_0_0,9_0_0,21_0_0,7_0_0,2_0_0",17,21888754,0.215,0.305,0.200,0.280,0,0.366816,1.922118,2.865492,0.000100,0.301460,1.305613,1.000000,0.832668
0270,"1_0_0","2_0_0",24,254020727,0.256,0.191,0.237,0.316,0,0.723623,3.040740,5.455965,1.467601,0.744512,5.058045,1.000000,2.603508
0271,"18_0_0,18_3_0,4_0_0,11_0_0,11_1_0,1_0_0","14_0_0,14_3_0,7_0_0,9_0_0,9_1_0,2_0_0",25,97991239,0.359,0.213,0.203,0.225,0,0.961555,4.571194,10.205647,3.831107,6.663579,17.972449,1.000000,3.506043
0272,"18_2_0,23_0_0,4_0_0,11_0_0","14_2_0,17_0_0,7_0_0,9_0_0",24,866620152,0.415,0.146,0.221,0.218,0,0.867293,3.402216,8.106552,0.460627,11.518849,14.703202,1.000000,2.811547
0273,"19_0_0,19_0_0,1_0_0,11_0_0","15_0_0,22_0_0,2_0_0,9_0_0",21,46696879,0.290,0.160,0.295,0.255,0,0.374123,115.543762,203.213064,24.258527,244.896286,1257.416632,1.000000,3.849003
0274,"18_0_0,18_0_0,18_0_0,11_0_0,11_0_0,1_0_0","24_0_0,20_0_0,14_1_0,9_0_0,21_0_0,2_0_0",25,410652510,0.207,0.118,0.307,0.368,0,5.000491,13.710378,8.025878,0.000100,1.737561,18.695825,1.000000,1.233989
0275,"4_0_0,1_0_0,11_0_0","7_0_0,2_0_0,9_0_0",20,847785967,0.206,0.192,0.228,0.374,0,0.451138,0.793447,4.189401,0.361843,1.684968,2.415776,1.000000,1.006862
0276,"4_0_0,14_0_0,2_0_0","7_0_0,18_0_0,1_0_0",18,821161955,0.259,0.141,0.291,0.309,0,0.325068,4.690148,1.549170,0.274093,4.202491,2.478058,1.000000,0.825794
0277,"15_0_0","22_0_0",21,254701033,0.364,0.208,0.086,0.343,0,0.420895,0.603246,1.104680,0.065565,1.180997,1.611579,1.000000,1.794294
0278,"18_0_0,11_0_0","14_0_0,9_0_0",23,499443164,0.380,0.120,0.170,0.330,0,0.769965,3.705809,1.944670,0.133521,2.591937,3.370042,1.000000,1.535061
0279,"23_0_0,18_0_0,2_1_0,1_0_0,11_0_0","17_0_0,14_0_0,1_1_0,2_0_0,9_0_0",25,450365264,0.366,0.206,0.181,0.248,0,1.738595,1219.944659,2999.070781,836.799400,1832.760819,8807.313144,1.000000,1.604071
0280,"9_3_0,9_2_0,2_1_0,15_0_0,24_0_0,24_6_0,1_0_0,4_2_0,11_0_0,14_6_0","11_3_0,11_2_0,1_1_0,22_0_0,20_0_0,20_6_0,2_0_0,7_2_0,9_0_0,18_6_0",21,208825621,0.237,0.232,0.192,0.338,0,0.452352,3299.027645,3731.820727,2474.479754,2222.343970,6042.642841,1.000000,3.767308
0281,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",19,780083511,0.301,0.264,0.138,0.298,0,0.394982,1.001157,2.806061,0.662520,1.230025,2.914004,1.000000,2.692621
0282,"2_0_0","1_0_0",18,309332400,0.453,0.093,0.187,0.267,0,0.918841,5.024901,9.803422,0.800444,0.000100,26.030137,1.000000,0.137321
0283,"11_0_0","9_0_0",24,611775188,0.294,0.186,0.172,0.348,0,0.787740,1.177304,3.540556,0.438985,0.000100,3.084113,1.000000,1.668302
0284,"18_0_0,2_0_0,11_0_0","14_0_0,1_0_0,9_0_0",25,917969631,0.310,0.193,0.237,0.260,0,0.491112,1.411172,5.824227,2.607876,3.816398,10.797460,1.000000,2.538631
0285,"18_0_0,24_0_0,1_0_0,11_0_0,14_1_0","14_0_0,20_0_0,2_0_0,9_0_0,18_1_0",23,671982572,0.367,0.159,0.254,0.221,0,0.461297,1931.097033,6545.090448,2933.109605,4439.585245,12525.538771,1.000000,6.066610
0286,"19_0_0,19_0_0,18_0_0,11_0_0","15_0_0,22_0_0,14_0_0,9_0_0",22,120017211,0.261,0.338,0.202,0.200,0,0.308881,0.890395,9.401436,1.383108,2.753525,3.012637,1.000000,1.678698
0287,"9_2_0,2_1_0,4_0_0,11_0_0","11_2_0,1_1_0,7_0_0,9_0_0",22,223284403,0.197,0.259,0.384,0.160,0,5.476952,3.312285,6.125403,6.334658,0.169529,15.640160,1.000000,2.128066
0288,"5_0_0,20_0_0,11_0_0","10_0_0,20_3_0,9_0_0",24,781395732,0.259,0.168,0.229,0.344,0,1.414616,6.242155,6.396579,0.570170,9.755334,15.616714,1.000000,1.162363
0289,"1_0_0,14_0_0","2_0_0,18_0_0",24,819900477,0.272,0.116,0.266,0.346,0,0.812949,27.645355,57.359289,7.927524,39.494198,99.945791,1.000000,1.491231
0290,"2_1_0,24_0_0,23_2_0,11_0_0,1_0_0","1_1_0,20_0_0,17_2_0,9_0_0,2_0_0",22,672074481,0.264,0.194,0.420,0.121,0,0.452122,7966.854968,6840.797365,14435.569541,6519.482065,34748.798864,1.000000,1.907746
0291,"14_1_0,4_0_0","18_1_0,7_0_0",25,260455531,0.340,0.216,0.204,0.240,0,0.940204,2758.332354,3116.496662,523.072294,3068.474467,5224.158074,1.000000,2.403178
0292,"23_0_0","5_0_0",23,638171911,0.280,0.216,0.126,0.378,0,1.739115,0.842712,1.467899,0.502955,1.133865,1.235836,1.000000,1.290581
0293,"9_0_0,14_0_0","11_0_0,18_0_0",23,579263522,0.274,0.133,0.322,0.270,0,0.624803,8.980574,3.868139,0.000100,7.293900,8.567792,1.000000,3.139838
0294,"2_0_0","1_0_0",18,621366889,0.325,0.215,0.250,0.210,0,0.719866,1.504180,4.127182,2.334490,7.207367,7.749968,1.000000,0.317136
0295,"18_0_0,1_0_0,11_1_0,11_0_0","14_0_0,2_0_0,9_1_0,9_0_0",21,191076620,0.249,0.220,0.293,0.238,0,0.347456,3.417709,1.108471,0.310235,1.396183,5.367903,1.000000,6.275655
0296,"23_0_0,18_0_0,1_0_0,11_0_0","17_0_0,14_0_0,2_0_0,9_0_0",22,113537114,0.305,0.215,0.222,0.258,0,0.541818,0.968288,5.085505,0.165079,1.124720,2.801540,1.000000,1.010177
0297,"18_0_0,1_0_0,11_0_0,4_0_0","14_0_0,2_0_0,9_0_0,7_0_0",25,184937198,0.298,0.263,0.269,0.169,0,1.643688,1.714773,3.505433,1.070554,1.646016,3.791039,1.000000,2.508276
0298,"18_0_0,11_0_0","14_0_0,9_0_0",21,468263089,0.314,0.111,0.217,0.357,0,0.395116,32826.533802,12093.257682,5012.388861,41262.254584,25258.170382,1.000000,1.345146
0299,"12_1_0,18_0_0,13_0_0,11_0_0","12_0_0,14_0_0,8_0_0,9_0_0",24,527232629,0.344,0.147,0.259,0.250,0,1.213410,9.110694,3.801416,1.903663,2.760478,12.763481,1.000000,2.978521
0300,"19_0_0,19_0_0,18_0_0,1_0_0","19_1_0,15_0_0,14_0_0,2_0_0",21,743356341,0.252,0.175,0.133,0.440,0,0.575653,11.020135,14.303382,5.133038,17.965330,5.742025,1.000000,1.723410
0301,"1_0_0,9_0_0","2_0_0,11_0_0",23,971442889,0.198,0.176,0.346,0.280,0,0.620151,0.000100,355.106022,162.362898,283.233721,924.255767,1.000000,0.729405
0302,"18_0_0,11_0_0","14_0_0,9_0_0",14,129995607,0.166,0.203,0.322,0.309,0,0.171820,15699.067348,12727.449931,14621.341825,22006.628061,9088.389306,1.000000,2.790383
0303,"18_0_0","14_0_0",24,828980924,0.366,0.199,0.209,0.227,0,0.881724,4.578649,15.901386,3.593306,3.968124,4.621333,1.000000,1.294141
0304,"9_0_0,14_0_0,4_0_0","11_0_0,18_0_0,7_0_0",20,114724786,0.400,0.131,0.226,0.243,0,0.431406,0.954566,2.996848,1.217640,3.273116,14.085237,1.000000,0.658191
0305,"NA","NA",15,174949554,0.240,0.125,0.320,0.315,0,0.640506,48312.031993,29601.940978,19678.307374,23655.361363,41601.215213,1.000000,0.134800
0306,"14_0_0,2_0_0","18_0_0,1_0_0",21,816434095,0.430,0.120,0.102,0.347,0,1.991481,1.769932,8.073412,0.680724,7.133147,5.471977,1.000000,0.588537
0307,"18_0_0,22_1_0,11_0_0","14_0_0,22_0_0,9_0_0",21,914885804,0.428,0.103,0.157,0.312,0,0.662433,4.062422,8.561893,3.377576,7.306545,14.700481,1.000000,1.259254
0308,"19_0_0,2_0_0,14_0_0","22_0_0,1_0_0,18_0_0",24,358501258,0.194,0.223,0.128,0.455,0,1.078341,4161.010958,16579.572705,301.733024,4499.759735,4813.091126,1.000000,0.741137
0309,"15_1_0,11_0_0,11_0_0,11_1_0,14_1_0,14_0_0","22_1_0,21_0_0,9_0_0,9_1_0,18_1_0,18_0_0",25,38702600,0.462,0.099,0.186,0.253,0,0.522823,2.620367,3.029853,0.518023,6.965151,6.928218,1.000000,17.289034
0311,"11_0_0","9_0_0",23,521147847,0.290,0.197,0.142,0.372,0,1.728719,2101.642118,6022.009468,970.723022,4691.582617,2547.460686,1.000000,1.839807
0312,"9_0_0,4_0_0,25_0_0","11_0_0,7_0_0,25_1_0",17,986636140,0.452,0.111,0.203,0.234,0,0.428481,2.732466,5.248047,0.776234,1.950302,3.376648,1.000000,0.263428
0313,"11_0_0","9_0_0",18,263169716,0.400,0.144,0.178,0.279,0,0.381723,26.247765,38.417208,8.415111,25.745381,69.118373,1.000000,1.118444
0314,"19_0_0,18_0_0,11_0_0","15_0_0,14_0_0,9_0_0",18,675074390,0.264,0.246,0.189,0.301,0,0.493771,1429.083186,1455.757872,1187.867541,2353.649254,9597.630307,1.000000,2.556595
0315,"19_0_0,1_0_0,11_0_0","15_0_0,2_0_0,9_0_0",21,901466306,0.417,0.138,0.262,0.183,0,0.409301,0.793808,0.839783,0.000100,0.667790,5.660051,1.000000,1.330368
0316,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",22,12161713,0.305,0.213,0.114,0.367,0,0.875283,0.550767,6.383042,0.446323,2.741876,4.605572,1.000000,1.169049
0317,"14_0_0","18_0_0",22,411881978,0.219,0.187,0.282,0.312,0,0.415575,1.017406,1.661009,1.865507,0.000100,6.489054,1.000000,1.110769
0318,"19_0_0,23_0_0,18_0_0,4_0_0,11_0_0,1_0_0","15_0_0,17_0_0,14_0_0,7_0_0,9_0_0,2_0_0",22,299011902,0.331,0.142,0.290,0.237,0,0.600029,2.978312,5.060341,0.000100,0.000100,3.427459,1.000000,1.856414
0319,"18_0_0,11_0_0,14_1_0","14_0_0,9_0_0,18_1_0",23,189758123,0.393,0.148,0.175,0.284,0,0.863243,2.821597,11.088311,10.441192,24.368124,34.556950,1.000000,1.043801
0320,"1_0_0,11_0_0","2_0_0,9_0_0",22,225834937,0.311,0.210,0.203,0.276,0,0.575035,42.913867,68.680955,33.903685,24.306850,23.763723,1.000000,4.727519
0321,"24_1_0,24_1_0,18_0_0,21_0_0","14_1_0,18_1_0,14_0_0,11_0_0",22,265034648,0.458,0.167,0.192,0.183,0,0.529180,2.138669,1.520868,0.251451,1.243478,5.973103,1.000000,2.627037
0322,"18_0_0,2_1_0,1_0_0,11_0_0","14_0_0,1_1_0,2_0_0,9_0_0",23,458066211,0.187,0.284,0.264,0.264,0,0.514825,3.800170,11.916357,1.226501,1.305182,8.671124,1.000000,1.189075
0323,"9_0_0,14_0_0","11_0_0,18_0_0",21,1490372,0.179,0.165,0.320,0.336,0,1.201165,87.989480,68.555130,2.693710,55.567608,102.677826,1.000000,0.520791
0324,"18_0_0,20_1_0,1_0_0","14_0_0,20_0_0,2_0_0",23,155494823,0.331,0.144,0.309,0.216,0,1.323626,5.364778,8.699864,6.164710,9.452957,8.135696,1.000000,2.621175
0325,"18_0_0,1_0_0,4_0_0","14_0_0,2_0_0,7_0_0",23,755866327,0.314,0.107,0.312,0.267,0,0.496997,1080.418382,797.191447,379.484177,1363.319854,2622.792817,1.000000,2.238433
0326,"18_0_0,18_0_0,18_0_0,1_0_0,11_0_0,4_0_0","24_0_0,20_0_0,14_0_0,2_0_0,9_0_0,7_0_0",22,90379443,0.257,0.207,0.172,0.363,0,1.232977,0.252501,2.408301,0.200914,0.000100,1.151012,1.000000,1.666964
0327,"14_0_0","18_0_0",24,90376656,0.322,0.185,0.282,0.210,0,0.703110,0.839068,1.883899,0.303082,0.449440,1.817769,1.000000,0.779680
0328,"9_4_0,9_3_0,4_1_0,18_0_0,21_0_0,21_0_0,1_0_0,4_0_0","11_4_0,11_3_0,7_1_0,14_0_0,11_0_0,9_0_0,2_0_0,7_0_0",22,382445418,0.416,0.291,0.163,0.129,0,1.178614,5.965379,23.085297,5.295999,4.671191,18.099762,1.000000,2.761187
0329,"18_0_0,24_0_0,21_0_0,21_0_0,1_0_0","14_0_0,20_0_0,11_0_0,9_0_0,2_0_0",18,541392654,0.286,0.243,0.240,0.230,0,0.510808,6.266112,7.092092,6.802843,2.882724,11.697416,1.000000,0.778159
0330,"18_4_0,9_2_0,4_0_0,11_0_0,14_0_0","14_4_0,11_2_0,7_0_0,9_0_0,18_0_0",21,967337242,0.300,0.204,0.144,0.352,0,0.399268,2.393018,17.602402,6.625945,11.237138,14.072140,1.000000,3.160133
0331,"15_0_0,11_0_0,11_1_0","22_0_0,9_0_0,9_1_0",25,131381430,0.296,0.129,0.191,0.384,0,6.864307,2.004945,1.390599,0.042077,0.392919,2.337685,1.000000,0.866148
0332,"4_0_0,1_0_0","7_0_0,2_0_0",24,194397641,0.221,0.199,0.177,0.403,0,0.726861,8.251624,21.218680,12.033873,16.012944,20.102835,1.000000,1.426925
0333,"19_0_0,9_0_0","22_0_0,11_0_0",16,965984689,0.324,0.227,0.124,0.326,0,0.152089,3.080010,17.775839,2.432929,2.480473,12.108119,1.000000,0.752553
0334,"14_0_0","18_0_0",19,262512210,0.286,0.164,0.251,0.299,0,0.575576,3.191818,4.699029,1.807771,2.199481,5.040296,1.000000,0.646708
0335,"11_1_0","9_1_0",23,282399197,0.219,0.291,0.182,0.307,0,0.544150,907.577719,975.708942,1250.500591,720.617389,1313.812452,1.000000,1.518188
0336,"23_0_0,18_0_0,1_0_0,15_0_0","17_0_0,14_0_0,2_0_0,22_0_0",16,41017772,0.286,0.091,0.254,0.369,0,0.333451,6.234994,3.172158,1.054842,0.000100,13.805309,1.000000,0.874391
0337,"18_0_0,11_1_0,11_0_0","14_0_0,9_1_0,9_0_0",24,323818668,0.357,0.140,0.229,0.273,0,0.668259,1.878784,2.177454,0.544234,2.243532,4.119120,1.000000,2.763627
0338,"9_0_0,2_0_0","11_0_0,1_0_0",22,180164559,0.150,0.264,0.322,0.264,0,0.787084,11257.357561,11008.976524,7356.748555,381.812169,6764.936746,1.000000,0.799483
0339,"NA","NA",20,84393200,0.404,0.152,0.168,0.276,0,1.586486,72648.706791,134338.084874,11899.521573,59639.006535,174348.454888,1.000000,0.277636
0340,"23_0_0,18_0_0,1_0_0,11_1_0,11_1_0","23_3_0,14_0_0,2_0_0,11_0_0,9_0_0",22,735909302,0.327,0.218,0.203,0.252,0,0.701779,0.088261,0.434259,0.311540,0.167659,1.206241,1.000000,1.113966
0341,"11_0_0","9_0_0",23,137246406,0.197,0.260,0.193,0.350,0,0.600186,2.554772,3.781597,0.089522,0.308786,3.650113,1.000000,3.160583
0342,"23_1_0,18_0_0","17_0_0,14_0_0",25,166408291,0.346,0.203,0.215,0.235,0,3.815241,14.529509,18.182059,15.658223,8.705612,33.069196,1.000000,1.108446
0343,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",19,270449206,0.500,0.178,0.153,0.169,0,0.489229,0.330819,1.419343,1.044236,1.198843,1.059437,1.000000,1.112869
0344,"18_0_0,1_0_0,4_0_0","14_0_0,2_0_0,7_0_0",22,520936206,0.278,0.200,0.233,0.289,0,0.468668,2.006282,2.313910,0.000100,0.135847,2.699171,1.000000,2.916660
0345,"15_0_0,18_0_0,24_0_0,4_0_0,1_0_0","22_0_0,14_0_0,20_0_0,7_0_0,2_0_0",21,726026699,0.364,0.138,0.127,0.371,0,0.343844,51.226673,69.950890,7.760216,124.005225,95.514921,1.000000,1.068246
0346,"NA","NA",24,691120058,0.297,0.126,0.187,0.390,0,2.106311,1.199651,1.232010,0.643806,0.000100,1.834314,1.000000,0.719680
0347,"2_0_0","1_0_0",23,338757898,0.182,0.242,0.207,0.367,0,2.610898,6792.078203,16643.177143,5608.807702,7247.386164,8518.181720,1.000000,0.797484
0348,"18_2_0,18_2_0,18_0_0,15_0_0,1_0_0,11_0_0","24_2_0,14_2_0,14_0_0,22_0_0,2_0_0,9_0_0",24,934532536,0.294,0.191,0.323,0.191,0,0.592291,5.812797,8.265741,0.000100,1.935430,12.367211,1.000000,2.693245
0349,"14_0_0","18_0_0",25,937706924,0.297,0.274,0.217,0.211,0,0.831262,1.061389,2.693217,0.000100,0.348111,2.724923,1.000000,2.844665
0350,"9_0_0,2_0_0","11_0_0,1_0_0",21,691465120,0.333,0.220,0.229,0.218,0,0.409871,1.720493,1.591534,0.414597,1.794961,2.604632,1.000000,0.598945
0351,"4_0_0,18_0_0,15_0_0","7_0_0,14_0_0,22_0_0",23,982145753,0.356,0.162,0.128,0.354,0,0.931604,3002.997941,8067.584654,861.348189,6869.401160,14375.865736,1.000000,0.921647
0352,"18_2_0,18_2_0,18_0_0,11_0_0","18_3_0,14_2_0,14_0_0,9_0_0",24,57782965,0.308,0.211,0.208,0.273,0,0.804797,0.530688,0.646083,0.264649,0.018794,3.039597,1.000000,3.296962
0353,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",23,867882448,0.363,0.197,0.209,0.231,0,1.998926,2.814317,4.319907,0.839549,2.442253,9.096276,1.000000,1.420462
0354,"7_0_0,1_0_0,11_0_0","4_0_0,2_0_0,9_0_0",24,201860305,0.325,0.280,0.207,0.188,0,1.579265,2.267708,9.182367,2.541029,1.749154,7.305031,1.000000,0.574685
0355,"18_0_0,15_0_0,11_1_0,11_0_0","14_0_0,22_0_0,9_1_0,9_0_0",23,279540722,0.347,0.205,0.275,0.173,0,0.659229,6.289942,4.621195,0.490787,1.788231,20.651246,1.000000,1.836265
0356,"18_0_0,11_0_0","14_0_0,9_0_0",22,83696723,0.478,0.098,0.152,0.272,0,0.953786,1.838473,1.692313,0.117276,1.984709,4.197983,1.000000,1.501360
0357,"18_2_0,18_2_0,18_2_0,18_0_0,1_0_0,11_0_0","18_3_0,14_2_0,14_3_0,14_0_0,2_0_0,9_0_0",24,82278927,0.317,0.254,0.138,0.291,0,1.452041,2.596583,2.514768,0.925429,2.674118,5.058405,1.000000,1.818493
0358,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",25,17558974,0.257,0.220,0.192,0.332,0,0.739578,15.384714,17.232238,16.192274,0.000100,24.460055,1.000000,1.163693
0359,"9_0_0,2_0_0","11_0_0,1_0_0",24,438986739,0.344,0.275,0.091,0.291,0,1.004778,1221.288368,4408.759977,597.749756,9033.297988,2911.285341,1.000000,0.549544
0360,"19_0_0,9_2_0,7_4_0,7_4_0,1_0_0","22_0_0,11_2_0,4_0_0,7_0_0,2_0_0",21,630821919,0.188,0.396,0.246,0.171,0,0.513396,3550.574868,11307.709107,6308.224754,161.894611,10317.434651,1.000000,2.889722
0361,"18_0_0,1_0_0","14_0_0,2_0_0",21,412413075,0.230,0.217,0.348,0.205,0,0.777737,157.421110,239.620549,240.722656,69.979828,203.660006,1.000000,1.524067
0363,"18_0_0,15_0_0,24_0_0,24_0_0,4_0_0","14_0_0,22_0_0,14_2_0,20_2_0,7_0_0",22,788838557,0.315,0.231,0.255,0.200,0,0.544017,6.993063,35.148283,3.592094,5.746855,22.978386,1.000000,1.360103
0364,"18_0_0,11_0_0","14_0_0,9_0_0",24,848579035,0.238,0.242,0.247,0.273,0,0.518869,2.115901,5.813901,3.039902,1.030387,3.578343,1.000000,1.083408
0365,"18_2_0,18_0_0,23_4_0,11_0_0,11_0_0,11_1_0,1_0_0","14_2_0,14_0_0,23_5_0,9_0_0,21_0_0,9_1_0,2_0_0",25,311694666,0.258,0.191,0.325,0.226,0,0.746003,1.488938,1.721261,0.926657,2.195593,3.220619,1.000000,15.392853
0366,"23_0_0,2_0_0","17_0_0,1_0_0",19,53418912,0.157,0.187,0.336,0.320,0,0.514043,1132.646583,1158.796700,1750.633701,102.295364,241.610220,1.000000,0.329363
0367,"18_0_0,11_0_0","14_0_0,9_0_0",22,823947615,0.094,0.328,0.242,0.337,0,0.699478,7738.827292,11587.441374,1965.009530,200.678280,3429.575128,1.000000,1.563694
0368,"18_0_0,2_1_0,2_2_0,1_0_0","14_0_0,1_1_0,1_2_0,2_0_0",25,480144143,0.307,0.203,0.293,0.197,0,2.232720,8.790949,5.811330,5.075037,6.655843,7.522665,1.000000,3.252242
0369,"18_4_0,21_0_0,4_0_0","14_4_0,9_0_0,7_0_0",23,301479396,0.225,0.176,0.253,0.345,0,1.124178,13.641998,6.237747,4.313428,0.000100,7.879736,1.000000,4.375293
0370,"1_0_0,14_0_0,22_1_0","2_0_0,18_0_0,15_0_0",24,684584104,0.374,0.114,0.230,0.282,0,1.314376,6342.256443,14271.368413,2846.130211,0.000100,12596.614073,1.000000,0.980745
0371,"11_0_0,1_0_0","9_0_0,2_0_0",24,858030996,0.395,0.138,0.235,0.233,0,2.430665,1.269951,0.846664,0.252633,1.518857,2.137417,1.000000,1.052848
0372,"1_0_0,11_0_0","2_0_0,9_0_0",25,635790866,0.306,0.277,0.174,0.243,0,2.005095,1.328319,7.983722,0.633076,0.718790,3.828498,1.000000,0.983825
0373,"21_2_0,21_2_0,2_1_0,1_0_0,11_0_0","9_2_0,11_2_0,1_1_0,2_0_0,9_0_0",20,408701992,0.367,0.111,0.181,0.340,0,0.477829,9404.727969,10264.636641,277.475649,4354.528224,11400.596180,1.000000,2.826480
0374,"9_0_0,14_0_0,1_0_0","11_0_0,18_0_0,2_0_0",25,413848608,0.444,0.102,0.213,0.240,0,3.757244,7.751243,19.690410,5.998114,5.740051,28.466694,1.000000,0.615916
0375,"19_0_0,18_0_0,18_0_0,4_0_0,11_0_0","22_0_0,20_0_0,14_0_0,7_0_0,9_0_0",13,756369195,0.383,0.180,0.197,0.240,0,0.131845,1.357361,0.944453,4.096647,1.015898,3.112893,1.000000,0.825428
0376,"4_1_0,18_0_0,1_0_0","7_1_0,14_0_0,2_0_0",24,222306289,0.339,0.236,0.239,0.187,0,1.456056,1.113316,0.965100,0.100083,0.784199,2.931017,1.000000,1.305823
0378,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",23,553002029,0.392,0.122,0.306,0.181,0,0.504565,1.952110,2.239109,0.383289,2.664039,13.308693,1.000000,3.233228
0379,"18_0_0,11_0_0","14_0_0,9_0_0",22,76903730,0.155,0.198,0.169,0.478,0,1.338217,9.435838,9.704920,0.000100,0.998639,7.153162,1.000000,0.905620
0380,"18_0_0,11_0_0,1_0_0,4_0_0","14_0_0,9_0_0,2_0_0,7_0_0",23,723142131,0.308,0.180,0.177,0.335,0,0.877137,1.062857,1.957943,0.617731,2.943070,2.448205,1.000000,1.228655
0381,"23_1_0,18_1_0,5_1_0,18_0_0,21_0_0,21_0_0,1_0_0","17_1_0,14_1_0,10_1_0,14_0_0,11_0_0,9_0_0,2_0_0",22,813783080,0.210,0.136,0.363,0.291,0,0.524564,21.745407,12.075433,0.000100,1.420398,23.785865,1.000000,1.778009
0382,"24_0_0,11_0_0,1_0_0","20_0_0,9_0_0,2_0_0",22,626312842,0.270,0.252,0.167,0.311,0,0.378559,1.537187,4.034087,0.734882,0.234374,2.848191,1.000000,1.050009
0383,"14_0_0","18_0_0",22,487385342,0.246,0.231,0.226,0.297,0,0.539497,848.001186,518.219282,0.000100,526.110601,487.482520,1.000000,0.444881
